GO; GORIZIA    ; VIA DON BOSCO 108      ; VIA DON BOSCO 108      ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,737;1,637
PN; MANIAGO    ; V.LE REPUBBLICA 120    ; V.LE REPUBBLICA 120    ,  MANIAGO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,736;1,736
PN; PORCIA     ; V. BRUNIS LOC. PALSE DI PORCIA; V. BRUNIS LOC. PALSE DI PORCIA,  PORCIA     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,736;1,676
UD; MANZANO    ; FRAZ OLEIS SP NATISONE KM2+300; FRAZ OLEIS SP NATISONE KM2+300,  MANZANO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,735;1,735
GO; GORIZIA    ; VIA CRISPI 14          ; VIA CRISPI 14          ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,735;1,683
GO; S. LORENZO ISONTINO    ; SS 56 KM 28+593        ; SS 56 KM 28+593        ,  S. LORENZO ISONTINO    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,733;1,733
UD; BERTIOLO   ; STRADALTA 2; STRADALTA 2,  BERTIOLO   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,733;1,692
UD; UDINE      ; VIALE XXIII MARZO 16   ; VIALE XXIII MARZO 16   ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,732;1,692
PN; SPILIMBERGO; SS 464 KM 18+145       ; SS 464 KM 18+145       ,  SPILIMBERGO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,732;1,692
PN; CORDENONS  ; VIA CHIAVORNICCO 40/A  ; VIA CHIAVORNICCO 40/A  ,  CORDENONS  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,73;1,69
PN; PORDENONE  ; VIA TREVISO N.27       ; VIA TREVISO N.27       ,  PORDENONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,73;1,67
PN; PORDENONE  ; VIA UDINE 126          ; VIA UDINE 126          ,  PORDENONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,73;1,66
PN; MEDUNO     ; VIA PRINCIPALE 20      ; VIA PRINCIPALE 20      ,  MEDUNO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,729;1,729
GO; GORIZIA    ; VIA AQUILEIA 60        ; VIA AQUILEIA 60        ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,729;1,679
GO; GORIZIA    ; VIA DUCA D'AOSTA 74    ; VIA DUCA D'AOSTA 74    ,  GORIZIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,729;1,657
PN; CHIONS     ; VIA TREVISO 8          ; VIA TREVISO 8          ,  CHIONS     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,728;1,668
UD; UDINE      ; V.LE PALMANOVA 129     ; V.LE PALMANOVA 129     ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S/N;1,728;1,658
GO; FOGLIANO REDIPUGLIA    ; V.LE III ARMATA 58     ; V.LE III ARMATA 58     ,  FOGLIANO REDIPUGLIA    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,725;1,678
UD; PALMANOVA  ; VIA TAGLIO 8/A         ; VIA TAGLIO 8/A         ,  PALMANOVA  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,715;1,715
UD; COLLOREDO DI MONTALBANO; S.P. OSOVANA           ; S.P. OSOVANA           ,  COLLOREDO DI MONTALBANO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,711;1,711
UD; S. PIETRO AL NATISONE  ; LOC.AZZIDA ZONA IND.34 ; LOC.AZZIDA ZONA IND.34 ,  S. PIETRO AL NATISONE  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,711;1,711
UD; SEDEGLIANO ; FR.TURRIDA VIA FOGAZZARO 35   ; FR.TURRIDA VIA FOGAZZARO 35   ,  SEDEGLIANO ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,711;1,711
UD; PAVIA DI UDINE         ; VIA AQUILEIA 16        ; VIA AQUILEIA 16        ,  PAVIA DI UDINE         ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,708;1,708
UD; S. LEONARDO; FRAZ.CEMUR ; FRAZ.CEMUR ,  S. LEONARDO;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,705;1,705
UD; TRASAGHIS  ; SS  512 KM  19+530     ; SS  512 KM  19+530     ,  TRASAGHIS  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,705;1,705
UD; CIVIDALE DEL FRIULI    ; VIALE LIBERTA' 5       ; VIALE LIBERTA' 5       ,  CIVIDALE DEL FRIULI    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,703;1,703
UD; CIVIDALE DEL FRIULI    ; INDIPENDENZA 1         ; INDIPENDENZA 1         ,  CIVIDALE DEL FRIULI    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,703;1,703
PN; PASIANO DI PORDENONE   ; STRADA DEL MOBILE B/3  ; STRADA DEL MOBILE B/3  ,  PASIANO DI PORDENONE   ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,701;1,701
UD; POZZUOLO DEL FRIULI    ; CARGNACCO VIA BUTTRIO 59      ; CARGNACCO VIA BUTTRIO 59      ,  POZZUOLO DEL FRIULI    ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,699;1,699
PN; AVIANO     ; VIA PORDENONE 95       ; VIA PORDENONE 95       ,  AVIANO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,699;1,699
PN; AVIANO     ; VIA PORDENONE 48/B     ; VIA PORDENONE 48/B     ,  AVIANO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,699;1,699
PN; AVIANO     ; VIA PORDENONE 44       ; VIA PORDENONE 44       ,  AVIANO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,699;1,699
PN; MORSANO AL TAGLIAMENTO ; VIA ROMA 11/A          ; VIA ROMA 11/A          ,  MORSANO AL TAGLIAMENTO ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,699;1,699
UD; CERVIGNANO DEL FRIULI  ; VIA AQUILEIA 98/3      ; VIA AQUILEIA 98/3      ,  CERVIGNANO DEL FRIULI  ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,697;1,697
UD; UDINE      ; VIA POZZUOLO 249       ; VIA POZZUOLO 249       ,  UDINE      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,697;1,697
UD; VARMO      ; LOC.PONTE DI MADRISIO  ; LOC.PONTE DI MADRISIO  ,  VARMO      ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,697;1,697
PN; PRATA DI PORDENONE     ; VIA OPITERGINA 40      ; VIA OPITERGINA 40      ,  PRATA DI PORDENONE     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,697;1,697
UD; MAJANO     ; VIA RINO SNAIDERO 7    ; VIA RINO SNAIDERO 7    ,  MAJANO     ;" <img src=""img/loghi/AGIP.gif"" alt=""AGIP"" border=""0"">";  S;1,694;1,694
